Material,Density(g/cm3),rho0_err,c0(km/s),c0_err,s1,s1_err,s2(s/km),s2_err,d(s/km),d_err,g0,g0_err,q,q_err,up_low(km/s),up_high(km/s),IHED_id,Date,Notes
Aluminium 6061,2.683,-1,5.349,-1,1.338,-1,0.,-1,0.,0.,1.0,-1,1.0,-1,-1,-1,324,2022-11-11,Duffy & Ahrens 1998 NEED TO ADD Z data
Steel 304,7.87,-1,4.58,-1,1.49,-1,0.,-1,0.,0.,2.2,-1,1.,-1,0,-1,347,2022-11-11,Duffy & Ahrens 1998
Copper,8.924,-1,3.975,-1,1.471,-1,-5.008e-3,-1,0.,0.,1.96,-1,1,-1,0,40.8,45,2022-11-11,IHED fit; g0 Gilev 2018 and q is quess
Tantalum,16.649,-1,3.31,-1,1.306,-1,0.,-1,0.,0.,1.62,-1,1.,-1,0,-1,75,2022-11-11,AGU Reference Shelf+Katahara et al. 1979+Cohen-2001
Tungsten,19.235,-1,3.994,-1,1.2788,-1,-4.937e-3,-1,0.,0.,1.81,-1,0.71,-1,0,16.45,79,2022-11-11,IHED fit and Litasov 2013 for gamma
PMMA,1.186,-1,2.817,-1,1.389,-1,-4.8e-3,-1,0.,0.,0.3,-1,1.0,-1,0,17,130,2022-11-11,Duffy & Ahrens 1998 - updated to IHED fit g0 from Coe et al. 2022 - q not fit
Fused-qtz-low,2.204,-1,7.906,-1,0.9486,-1,5.455,-1,0.4123,0.,0.65,-1,0,-1,1,10.,143,2022-11-12,STS fit to 2<up<10 km/s const gamma
Fused-qtz-all,2.204,-1,6.2396,-1,1.1536,-1,3.4133,-1,0.3464,0.,0.65,-1,0,-1,7,18.3,143,2022-11-13,STS fit to all IHED and Root Z data const gamma
Fused-qtz-root,2.2,-1,4.925,-1,1.234,-1,2.074,-1,0.352,0.,0.65,-1,0,-1,7,18.3,143,2022-11-12,Root-Townsend-2019 Universal Hugoniot const gamma
LiF,2.650,-1,5.181,-1,1.306,-1,0.,-1,0.,0.,1.6,-1,1,-1,-1,-1,162,2022-11-11,Duffy & Ahrens 1998 & IHED
Basalt-hpp-quad,2.8,-1,3.125,-1,1.269,-1,3.743e-2,-1,0.,0.,1.39,-1,1,-1,2.0,5.94,635,2022-11-11,AGU Reference Shelf and OA72 sts quad fit to IHED 635 and 636 up>2 km/s
Basalt-hpp-ulh,2.8,-1,5.397,-1,1.279,-1,2.55,-1,0.44726,0.,1.39,-1,1,-1,0.5,5.94,635,2022-11-13,AGU Reference Shelf and OA72 sts ULH fit to IHED 635 and 636 up>0.5 km/s
Water-ulh,0.998,-1,1.336,-1,1.3385,-1,-1.236,-1,0.354,0.,0.85,-1,0.21,-1,3,35,122,2022-11-11,IHED fit with univeral liquid Hugoniot
Ice,0.91,-1,1.593,-1,1.44,-1,0.,-1,0.,0.,0.85,-1,0.21,-1,0,-1,184,2022-11-11,Stewart & Ahrens 2005 & fit to IHED data
